sample interval	   MLII
(0,002 sec)	   (mV)
1		-0.115
2		-0.115
3		-0.120
4		-0.120
5		-0.120
6		-0.120
7		-0.120
8		-0.115
9		-0.115
10		-0.115
11		-0.110
12		-0.110
13		-0.110
14		-0.110
15		-0.105
16		-0.105
17		-0.105
18		-0.105
19		-0.100
20		-0.100
21		-0.100
22		-0.100
23		-0.100
24		-0.100
25		-0.100
26		-0.100
27		-0.100
28		-0.095
29		-0.095
30		-0.095
31		-0.095
32		-0.090
33		-0.090
34		-0.090
35		-0.090
36		-0.085
37		-0.085
38		-0.085
39		-0.085
40		-0.085
41		-0.080
42		-0.080
43		-0.075
44		-0.070
45		-0.070
46		-0.065
47		-0.065
48		-0.060
49		-0.060
50		-0.060
51		-0.060
52		-0.065
53		-0.065
54		-0.060
55		-0.060
56		-0.055
57		-0.050
58		-0.050
59		-0.045
60		-0.040
61		-0.035
62		-0.030
63		-0.025
64		-0.020
65		-0.010
66		-0.005
67		0.005
68		0.010
69		0.020
70		0.025
71		0.025
72		0.030
73		0.030
74		0.030
75		0.035
76		0.035
77		0.040
78		0.045
79		0.055
80		0.065
81		0.075
82		0.085
83		0.095
84		0.100
85		0.105
86		0.110
87		0.115
88		0.120
89		0.125
90		0.125
91		0.125
92		0.125
93		0.125
94		0.120
95		0.120
96		0.115
97		0.110
98		0.105
99		0.105
100		0.100
101		0.100
102		0.100
103		0.100
104		0.095
105		0.090
106		0.085
107		0.075
108		0.065
109		0.050
110		0.040
111		0.025
112		0.015
113		0.010
114		0.000
115		-0.005
116		-0.010
117		-0.015
118		-0.020
119		-0.025
120		-0.035
121		-0.045
122		-0.055
123		-0.060
124		-0.065
125		-0.065
126		-0.060
127		-0.050
128		-0.035
129		-0.015
130		0.000
131		0.015
132		0.025
133		0.030
134		0.035
135		0.035
136		0.030
137		0.025
138		0.025
139		0.025
140		0.025
141		0.030
142		0.030
143		0.035
144		0.040
145		0.045
146		0.050
147		0.050
148		0.050
149		0.050
150		0.055
151		0.055
152		0.060
153		0.060
154		0.065
155		0.065
156		0.070
157		0.070
158		0.070
159		0.070
160		0.070
161		0.065
162		0.065
163		0.065
164		0.060
165		0.060
166		0.060
167		0.065
168		0.065
169		0.070
170		0.070
171		0.070
172		0.075
173		0.075
174		0.075
175		0.075
176		0.070
177		0.070
178		0.070
179		0.070
180		0.065
181		0.065
