sample interval	   MLII
(0,0027777 sec)	   (mV)
0	 -0.445
1	 -0.445
2	 -0.445
3	 -0.445
4	 -0.445
5	 -0.445
6	 -0.445
7	 -0.445
8	 -0.450
9	 -0.430
10	 -0.435
11	 -0.405
12	 -0.385
13	 -0.365
14	 -0.355
15	 -0.340
16	 -0.325
17	 -0.305
18	 -0.285
19	 -0.260
20	 -0.245
21	 -0.225
22	 -0.240
23	 -0.225
24	 -0.210
25	 -0.195
26	 -0.190
27	 -0.195
28	 -0.205
29	 -0.205
30	 -0.200
31	 -0.205
32	 -0.210
33	 -0.215
34	 -0.235
35	 -0.235
36	 -0.220
37	 -0.235
38	 -0.240
39	 -0.255
40	 -0.280
41	 -0.275
42	 -0.265
43	 -0.270
44	 -0.270
45	 -0.285
46	 -0.305
47	 -0.305
48	 -0.295
49	 -0.290
50	 -0.300
51	 -0.305
52	 -0.315
53	 -0.310
54	 -0.315
55	 -0.295
56	 -0.300
57	 -0.310
58	 -0.315
59	 -0.315
60	 -0.320
61	 -0.315
62	 -0.305
63	 -0.310
64	 -0.330
65	 -0.325
66	 -0.330
67	 -0.320
68	 -0.320
69	 -0.310
70	 -0.325
71	 -0.330
72	 -0.330
73	 -0.325
74	 -0.325
75	 -0.335
76	 -0.335
77	 -0.330
78	 -0.320
79	 -0.320
80	 -0.335
81	 -0.335
82	 -0.345
83	 -0.340
84	 -0.325
85	 -0.320
86	 -0.325
87	 -0.350
88	 -0.360
89	 -0.350
90	 -0.325
91	 -0.310
92	 -0.325
93	 -0.335
94	 -0.340
95	 -0.340
96	 -0.330
97	 -0.325
98	 -0.335
99	 -0.340
100	 -0.345
101	 -0.330
102	 -0.335
103	 -0.325
104	 -0.325
105	 -0.335
106	 -0.340
107	 -0.325
108	 -0.325
109	 -0.320
110	 -0.325
111	 -0.330
112	 -0.345
113	 -0.325
114	 -0.325
115	 -0.325
116	 -0.320
117	 -0.325
118	 -0.330
119	 -0.335
120	 -0.305
121	 -0.310
122	 -0.295
123	 -0.285
124	 -0.290
125	 -0.245
126	 -0.230
127	 -0.210
128	 -0.230
129	 -0.245
130	 -0.245
131	 -0.225
132	 -0.190
133	 -0.155
134	 -0.145
135	 -0.150
136	 -0.155
137	 -0.150
138	 -0.140
139	 -0.130
140	 -0.120
141	 -0.125
142	 -0.140
143	 -0.145
144	 -0.150
145	 -0.155
146	 -0.150
147	 -0.175
148	 -0.200
149	 -0.240
150	 -0.280
151	 -0.325
152	 -0.360
153	 -0.380
154	 -0.390
155	 -0.380
156	 -0.380
157	 -0.370
158	 -0.380
159	 -0.395
160	 -0.415
161	 -0.395
