sample interval	   ECG1	   ECG2
(0,0078125 sec)	   (mV)	   (mV)
              0	 -0.085	 -0.065
              1	 -0.075	 -0.065
              2	 -0.085	 -0.025
              3	 -0.085	 -0.075
              4	 -0.065	 -0.035
              5	 -0.055	 -0.055
              6	 -0.075	 -0.065
              7	 -0.075	 -0.035
              8	 -0.065	 -0.055
              9	 -0.065	 -0.065
             10	 -0.075	 -0.065
             11	 -0.075	 -0.065
             12	 -0.055	 -0.065
             13	 -0.075	 -0.085
             14	 -0.085	 -0.075
             15	 -0.065	 -0.065
             16	 -0.065	 -0.065
             17	 -0.065	 -0.105
             18	 -0.065	 -0.095
             19	 -0.095	 -0.085
             20	 -0.075	 -0.075
             21	 -0.085	 -0.085
             22	 -0.085	 -0.065
             23	 -0.075	 -0.105
             24	 -0.085	 -0.075
             25	 -0.075	 -0.065
             26	 -0.075	 -0.095
             27	 -0.045	 -0.065
             28	 -0.015	 -0.035
             29	 -0.025	 -0.055
             30	  0.005	 -0.035
             31	  0.025	 -0.015
             32	  0.055	 -0.035
             33	  0.075	 -0.135
             34	  0.015	 -0.155
             35	  0.015	 -0.165
             36	  0.005	 -0.145
             37	 -0.035	 -0.125
             38	 -0.045	 -0.135
             39	 -0.075	 -0.095
             40	 -0.085	 -0.075
             41	 -0.095	 -0.095
             42	 -0.085	 -0.125
             43	 -0.085	 -0.115
             44	 -0.075	 -0.075
             45	 -0.075	 -0.085
             46	 -0.075	 -0.125
             47	 -0.075	 -0.115
             48	 -0.125	 -0.105
             49	 -0.045	  0.015
             50	  0.405	 -0.155
             51	  0.895	 -0.795
             52	  0.925	 -1.325
             53	  0.285	 -1.275
             54	 -0.005	 -0.640
             55	 -0.045	 -0.165
             56	 -0.045	 -0.025
             57	 -0.095	  0.055
             58	 -0.115	  0.065
             59	 -0.135	  0.055
             60	 -0.145	  0.055
             61	 -0.145	  0.065
             62	 -0.115	  0.085
             63	 -0.105	  0.035
             64	 -0.115	  0.055
             65	 -0.105	  0.045
             66	 -0.095	  0.065
             67	 -0.095	  0.075
             68	 -0.065	  0.105
             69	 -0.075	  0.095
             70	 -0.055	  0.065
             71	 -0.025	  0.075
             72	 -0.035	  0.075
             73	 -0.005	  0.095
             74	  0.015	  0.115
             75	  0.035	  0.115
             76	  0.065	  0.135
             77	  0.075	  0.125
             78	  0.135	  0.115
             79	  0.155	  0.105
             80	  0.185	  0.095
             81	  0.195	  0.095
             82	  0.185	  0.085
             83	  0.195	  0.025
             84	  0.175	  0.035
             85	  0.095	 -0.015
             86	  0.055	 -0.035
             87	  0.025	 -0.005
             88	 -0.035	 -0.015
             89	 -0.045	 -0.025
             90	 -0.045	 -0.035
             91	 -0.055	 -0.025
             92	 -0.065	 -0.035
             93	 -0.075	 -0.045
             94	 -0.065	 -0.025
             95	 -0.065	 -0.035
             96	 -0.075	 -0.015
             97	 -0.075	 -0.045
             98	 -0.055	 -0.055
             99	 -0.065	 -0.025
            100	 -0.045	 -0.005
            101	 -0.065	 -0.005
            102	 -0.045	 -0.065
            103	 -0.055	 -0.035
            104	 -0.045	 -0.015
            105	 -0.035	 -0.015
            106	 -0.035	 -0.025
            107	 -0.045	 -0.055
            108	 -0.045	 -0.035
            109	 -0.035	 -0.045
            110	 -0.065	 -0.025
            111	 -0.045	 -0.065
            112	 -0.035	 -0.065
            113	 -0.055	 -0.055
            114	 -0.055	 -0.075
            115	 -0.045	 -0.075
            116	 -0.055	 -0.035
            117	 -0.055	 -0.055
            118	 -0.075	 -0.065
            119	 -0.055	 -0.035
            120	 -0.045	 -0.075
            121	 -0.055	 -0.095
            122	 -0.045	 -0.065
            123	 -0.065	 -0.065
            124	 -0.035	 -0.055
            125	 -0.005	 -0.055
            126	 -0.005	 -0.025
            127	  0.015	 -0.015
            128	  0.045	  0.045
            129	  0.045	 -0.045
            130	  0.095	 -0.105
            131	  0.085	 -0.105
            132	  0.025	 -0.115
            133	  0.035	 -0.145
            134	  0.005	 -0.135
            135	 -0.005	 -0.105
            136	 -0.035	 -0.085
            137	 -0.085	 -0.075
            138	 -0.065	 -0.065
            139	 -0.075	 -0.095
            140	 -0.065	 -0.075
            141	 -0.065	 -0.115
            142	 -0.085	 -0.105
            143	 -0.065	 -0.095
            144	 -0.055	 -0.075
            145	 -0.065	 -0.075
            146	 -0.085	 -0.105
            147	 -0.075	  0.015
            148	  0.395	 -0.175
            149	  0.895	 -0.815
            150	  0.855	 -1.375
            151	  0.215	 -1.145
            152	  0.005	 -0.515
            153	 -0.035	 -0.195
            154	 -0.005	 -0.015
            155	 -0.075	  0.055
            156	 -0.115	  0.055
            157	 -0.105	  0.085
            158	 -0.105	  0.035
            159	 -0.105	  0.035
            160	 -0.105	  0.075
            161	 -0.105	  0.055
            162	 -0.095	  0.045
            163	 -0.075	  0.065
            164	 -0.075	  0.075
            165	 -0.055	  0.065
            166	 -0.065	  0.055
            167	 -0.065	  0.075
            168	 -0.025	  0.095
            169	 -0.015	  0.085
            170	 -0.005	  0.075
            171	  0.005	  0.105
            172	  0.015	  0.125
            173	  0.055	  0.085
            174	  0.075	  0.075
            175	  0.115	  0.095
            176	  0.125	  0.095
            177	  0.145	  0.065
            178	  0.185	  0.065
            179	  0.185	  0.045
            180	  0.205	  0.035
            181	  0.205	  0.025
            182	  0.155	 -0.015
            183	  0.115	 -0.015
            184	  0.055	 -0.025
            185	  0.025	 -0.025
            186	  0.005	 -0.035
            187	 -0.025	 -0.015
            188	 -0.045	 -0.035
            189	 -0.045	 -0.025
            190	 -0.045	 -0.035
            191	 -0.055	 -0.065
            192	 -0.045	 -0.035
            193	 -0.065	 -0.035
            194	 -0.055	 -0.055
            195	 -0.045	 -0.035
            196	 -0.065	 -0.025
            197	 -0.045	 -0.035
            198	 -0.055	 -0.035
            199	 -0.045	 -0.045
            200	 -0.055	 -0.035
            201	 -0.055	 -0.045
            202	 -0.035	 -0.065
            203	 -0.055	 -0.045
            204	 -0.035	 -0.015
            205	 -0.055	 -0.065
            206	 -0.055	 -0.085
            207	 -0.045	 -0.045
            208	 -0.045	 -0.045
            209	 -0.045	 -0.085
            210	 -0.055	 -0.045
            211	 -0.065	 -0.065
            212	 -0.065	 -0.075
            213	 -0.055	 -0.065
            214	 -0.065	 -0.065
            215	 -0.075	 -0.075
            216	 -0.065	 -0.055
            217	 -0.075	 -0.065
            218	 -0.065	 -0.085
            219	 -0.085	 -0.075
            220	 -0.085	 -0.055
            221	 -0.055	 -0.055
            222	 -0.065	 -0.095
            223	 -0.015	 -0.075
            224	 -0.015	  0.005
            225	 -0.025	 -0.015
            226	  0.005	 -0.015
            227	  0.025	 -0.035
            228	  0.075	 -0.065
            229	  0.025	 -0.105
            230	 -0.025	 -0.145
            231	  0.005	 -0.145
            232	 -0.025	 -0.115
            233	 -0.065	 -0.115
            234	 -0.085	 -0.095
            235	 -0.125	 -0.085
            236	 -0.115	 -0.085
            237	 -0.095	 -0.115
            238	 -0.115	 -0.095
            239	 -0.135	 -0.095
            240	 -0.125	 -0.095
            241	 -0.115	 -0.075
            242	 -0.105	 -0.125
            243	 -0.105	 -0.105
            244	 -0.145	 -0.105
            245	 -0.155	  0.025
            246	  0.215	 -0.155
            247	  0.805	 -0.725
            248	  0.755	 -1.325
            249	  0.115	 -1.035
            250	 -0.105	 -0.445
            251	 -0.105	 -0.195
            252	 -0.105	 -0.025
            253	 -0.155	  0.025
            254	 -0.185	  0.035
            255	 -0.185	  0.055
            256	 -0.165	  0.025
            257	 -0.175	  0.035
            258	 -0.175	  0.045
            259	 -0.175	  0.065
            260	 -0.155	  0.065
            261	 -0.145	  0.025
            262	 -0.165	  0.035
            263	 -0.155	  0.065
            264	 -0.125	  0.045
            265	 -0.115	  0.075
            266	 -0.105	  0.035
            267	 -0.105	  0.065
            268	 -0.085	  0.085
            269	 -0.065	  0.065
            270	 -0.065	  0.085
            271	 -0.055	  0.095
            272	 -0.005	  0.075
            273	  0.025	  0.065
            274	  0.045	  0.065
            275	  0.075	  0.055
            276	  0.085	  0.025
            277	  0.095	  0.065
            278	  0.105	  0.015
            279	  0.085	 -0.005
            280	  0.075	  0.015
            281	  0.035	 -0.015
            282	 -0.005	 -0.065
            283	 -0.055	 -0.025
            284	 -0.085	 -0.025
            285	 -0.105	 -0.065
            286	 -0.125	 -0.065
            287	 -0.135	 -0.045
            288	 -0.135	 -0.025
            289	 -0.145	 -0.075
            290	 -0.125	 -0.055
            291	 -0.125	 -0.025
            292	 -0.125	 -0.025
            293	 -0.125	 -0.035
            294	 -0.105	 -0.055
            295	 -0.095	 -0.065
            296	 -0.085	 -0.025
            297	 -0.075	 -0.015
            298	 -0.065	 -0.075
            299	 -0.075	 -0.065
            300	 -0.025	 -0.025
            301	  0.055	 -0.005
            302	  0.145	 -0.105
            303	  0.285	 -0.215
            304	  0.595	 -0.235
            305	  0.915	 -0.295
            306	  1.325	 -0.415
            307	  1.685	 -0.785
            308	  1.985	 -1.105
            309	  2.115	 -1.125
            310	  1.815	 -1.075
            311	  1.175	 -0.765
            312	  0.535	 -0.385
            313	 -0.105	 -0.055
            314	 -0.445	  0.085
            315	 -0.485	  0.125
            316	 -0.495	  0.135
            317	 -0.515	  0.075
            318	 -0.525	  0.095
            319	 -0.525	  0.135
            320	 -0.525	  0.125
            321	 -0.525	  0.145
            322	 -0.505	  0.185
            323	 -0.505	  0.205
            324	 -0.505	  0.155
            325	 -0.535	  0.195
            326	 -0.575	  0.145
            327	 -0.595	  0.115
            328	 -0.665	  0.125
            329	 -0.775	  0.135
            330	 -0.825	  0.175
            331	 -0.835	  0.195
            332	 -0.885	  0.245
            333	 -0.905	  0.235
            334	 -0.925	  0.255
            335	 -0.885	  0.215
            336	 -0.815	  0.205
            337	 -0.765	  0.145
            338	 -0.645	  0.105
            339	 -0.525	  0.065
            340	 -0.395	  0.035
            341	 -0.295	  0.005
            342	 -0.235	 -0.005
            343	 -0.205	 -0.045
            344	 -0.185	 -0.025
            345	 -0.175	 -0.025
            346	 -0.155	 -0.045
            347	 -0.165	 -0.085
            348	 -0.165	 -0.055
            349	 -0.145	 -0.035
            350	 -0.175	 -0.045
            351	 -0.155	 -0.075
            352	 -0.145	 -0.055
            353	 -0.145	 -0.045
            354	 -0.125	 -0.055
            355	 -0.135	 -0.055
            356	 -0.125	 -0.045
            357	 -0.135	 -0.055
            358	 -0.145	 -0.065
            359	 -0.115	 -0.065
            360	 -0.115	 -0.075
            361	 -0.115	 -0.065
            362	 -0.105	 -0.065
            363	 -0.115	 -0.055
            364	 -0.105	 -0.075
            365	 -0.095	 -0.075
            366	 -0.105	 -0.075
            367	 -0.105	 -0.065
            368	 -0.095	 -0.055
            369	 -0.105	 -0.055
            370	 -0.075	 -0.105
            371	 -0.075	 -0.105
            372	 -0.075	 -0.075
            373	 -0.075	 -0.085
            374	 -0.085	 -0.085
            375	 -0.095	 -0.075
            376	 -0.075	 -0.065
            377	 -0.085	 -0.085
            378	 -0.065	 -0.075
            379	 -0.065	 -0.085
            380	 -0.055	 -0.085
            381	 -0.055	 -0.095
            382	 -0.075	 -0.095
            383	 -0.065	 -0.085
            384	 -0.055	 -0.075
            385	 -0.055	 -0.085
            386	 -0.045	 -0.085
            387	 -0.065	 -0.055
            388	 -0.055	 -0.095
            389	 -0.035	 -0.095
            390	 -0.055	 -0.085
            391	 -0.055	 -0.065
            392	 -0.045	 -0.105
            393	 -0.055	 -0.075
            394	 -0.025	 -0.075
            395	 -0.055	 -0.095
            396	 -0.045	 -0.085
            397	 -0.035	 -0.075
            398	 -0.045	 -0.115
            399	 -0.055	 -0.085
            400	 -0.045	 -0.065
            401	 -0.045	 -0.075
            402	 -0.045	 -0.055
            403	 -0.045	 -0.115
            404	 -0.035	 -0.095
